node_slot_id,node_alias,role,node_type,address_class,address
node-01,consensus-01,validator,validator,1,synv1daf1ee2c20ed961ec75d713aea4703389327
node-14,service-03,indexer,indexer,5,synv550236c31bda858ff27183e9d20d4db3acf02
node-02,consensus-02,validator,validator,1,synv1f2d0b0caae7e006426408008ceed4946d5eb
node-03,service-01,observer,observer,5,synv566ed2c95b408fcc400ec88a262c5fff78665
node-04,consensus-03,validator,validator,1,synv195e26a83cadf8636c052835b2d72ba232ed3
node-05,interop-01,cross-chain-verifier,cross-chain-verifier,2,synv20708faf79bc9aaf136a8d39c0235290bfe01
node-06,consensus-04,validator,validator,1,synv161ea6f7a4ec2cb102e16fda1b6ae21bc3b44
node-07,interop-02,relayer,relayer,2,synv2618ba0da2232256d3cfe96f79eefc168a504
node-08,archive-01,archive-validator,archive-validator,1,synv1d8bb566d5f963416c3a0367a53e28b2dd2cd
node-09,committee-01,committee,committee,1,synv1f049708835dbf06589ea342189731fbb395c
node-10,governance-01,security-council,security-council,4,synv4cace1e19e4d4b466e8123aa14570c84cb231
node-11,interop-03,oracle,oracle,2,synv28af8af7bca27a20ddf0733924d10a1afeeab
node-12,interop-04,witness,witness,2,synv2549b8b33f2320c735d2cd3ef3d9122dfe845
node-13,service-02,rpc-gateway,rpc-gateway,5,synv5372c7cc52e3b131042bb639392a30bc85689
node-22,interop-05,uma-coordinator,uma-coordinator,3,synv3a59d712e43e7eb4937ef49884bd6c23dd4dd
node-15,compute-01,pqc-crypto,pqc-crypto,3,synv3cf3c8198e724d71c098e137c86276773490d
node-16,archive-02,archive-validator,archive-validator,1,synv1b04dc1518d98a71e482b28dcf02c3b54d116
node-17,audit-01,audit-validator,audit-validator,1,synv1cebc126d61347e63b2f3c4521806f2b2127e
node-24,governance-02,treasury-controller,treasury-controller,4,synv4b1d8ed11cf37673fac14de37bacb42317e11
node-25,governance-03,governance-auditor,governance-auditor,4,synv414ad9f4e1c5d6322b917c8cf680a1387a897
node-18,compute-02,data-availability,data-availability,3,synv3de76d37c01b02d7f78c50d5405889d15b584
node-20,compute-03,ai-inference,ai-inference,3,synv3dc88c6183f02fdce82d7bec2621df2a7cc6a
node-23,compute-04,compute,compute,3,synv317b285e67cbaf5c0210f56834b8f0210d2b3
